diameter,x_center,Re,Cd,channel_height,U_inlet,blockage_ratio,flow_regime
0.457921,2.787356,45.79,1.54094,2.0,0.001,0.2289605,0
0.457921,2.895706,45.79,1.53406,2.0,0.001,0.2289605,0
0.457921,2.999685,45.79,1.542,2.0,0.001,0.2289605,0
0.478876,1.103366,47.89,1.63702,2.0,0.001,0.239438,0
0.478876,1.000589,47.89,1.67361,2.0,0.001,0.239438,0
0.478876,1.209432,47.89,1.61964,2.0,0.001,0.239438,0
0.478876,1.315086,47.89,1.59848,2.0,0.001,0.239438,0
0.478876,1.420821,47.89,1.59071,2.0,0.001,0.239438,0
0.478876,1.527817,47.89,1.57894,2.0,0.001,0.239438,0
0.478876,1.629998,47.89,1.57595,2.0,0.001,0.239438,0
0.478876,1.736917,47.89,1.57477,2.0,0.001,0.239438,0
0.478876,1.842592,47.89,1.56912,2.0,0.001,0.239438,0
0.478876,1.944981,47.89,1.5706,2.0,0.001,0.239438,0
0.478876,2.053198,47.89,1.56647,2.0,0.001,0.239438,0
0.478876,2.156161,47.89,1.56692,2.0,0.001,0.239438,0
0.478876,2.260869,47.89,1.56929,2.0,0.001,0.239438,0
0.478876,2.370784,47.89,1.56684,2.0,0.001,0.239438,0
0.478876,2.580571,47.89,1.56413,2.0,0.001,0.239438,0
0.478876,2.476135,47.89,1.56266,2.0,0.001,0.239438,0
0.478876,2.683182,47.89,1.566,2.0,0.001,0.239438,0
0.478876,2.787356,47.89,1.56593,2.0,0.001,0.239438,0
0.478876,2.895706,47.89,1.56604,2.0,0.001,0.239438,0
0.478876,2.999685,47.89,1.5663,2.0,0.001,0.239438,0
0.49978,1.209432,49.98,1.6549,2.0,0.001,0.24989,0
0.49978,1.000589,49.98,1.71646,2.0,0.001,0.24989,0
0.49978,1.103366,49.98,1.68017,2.0,0.001,0.24989,0
0.49978,1.315086,49.98,1.63963,2.0,0.001,0.24989,0
0.49978,1.420821,49.98,1.62905,2.0,0.001,0.24989,0
0.49978,1.527817,49.98,1.62019,2.0,0.001,0.24989,0
0.49978,1.629998,49.98,1.61679,2.0,0.001,0.24989,0
0.49978,1.842592,49.98,1.6095,2.0,0.001,0.24989,0
0.49978,1.736917,49.98,1.61031,2.0,0.001,0.24989,0
0.49978,1.944981,49.98,1.60706,2.0,0.001,0.24989,0
0.49978,2.156161,49.98,1.60355,2.0,0.001,0.24989,0
0.49978,2.053198,49.98,1.60474,2.0,0.001,0.24989,0
0.49978,2.260869,49.98,1.60202,2.0,0.001,0.24989,0
0.49978,2.370784,49.98,1.60378,2.0,0.001,0.24989,0
