diameter,x_center,Re,Cd,blockage_ratio,flow_regime,U_inlet
0.05,2.659,50000.0,0.9547808,0.025,1,15.0
0.05,2.659,58333.33333333333,0.9561850775510204,0.025,1,17.5
0.05,2.659,66666.66666666667,0.9585768,0.025,1,20.0
0.05,2.659,16666.666666666668,0.96443424,0.025,1,5.0
0.05,2.659,25000.0,0.9435754666666666,0.025,1,7.5
0.05,2.998,33333.333333333336,0.8812424,0.025,1,10.0
0.05,2.998,41666.66666666666,0.889061888,0.025,1,12.5
0.05,2.998,50000.0,0.889013688888889,0.025,1,15.0
0.05,2.998,58333.33333333333,0.8902786612244897,0.025,1,17.5
0.05,2.998,66666.66666666667,0.8924836,0.025,1,20.0
0.05,2.998,16666.666666666668,0.89748704,0.025,1,5.0
0.05,2.998,25000.0,0.8788569599999999,0.025,1,7.5
0.099,1.0,66000.0,0.8757381818181817,0.0495,1,10.0
0.099,1.0,82500.0,0.8836688161616162,0.0495,1,12.5
0.099,1.0,99000.0,0.8837448260381593,0.0495,1,15.0
0.099,1.0,115500.0,0.8850986270871984,0.0495,1,17.5
0.099,1.0,132000.0,0.8873672727272727,0.0495,1,20.0
0.099,1.0,33000.0,0.8925386666666666,0.0495,1,5.0
0.099,1.0,49500.0,0.8732588103254769,0.0495,1,7.5
0.099,1.332,66000.0,0.858410101010101,0.0495,1,10.0
0.099,1.332,82500.0,0.8662184080808081,0.0495,1,12.5
0.099,1.332,99000.0,0.866311290684624,0.0495,1,15.0
0.099,1.332,115500.0,0.8676500185528756,0.0495,1,17.5
0.099,1.332,132000.0,0.8698824242424242,0.0495,1,20.0
0.099,1.332,33000.0,0.8745724444444444,0.0495,1,5.0
0.099,1.332,49500.0,0.8559069809203143,0.0495,1,7.5
0.099,1.664,66000.0,0.8341482828282828,0.0495,1,10.0
0.099,1.664,82500.0,0.8417794585858586,0.0495,1,12.5
0.099,1.664,99000.0,0.8419002469135801,0.0495,1,15.0
0.099,1.664,115500.0,0.8432330488559059,0.0495,1,17.5
